レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞12R,110,160,370,690,560,220,330,800,3780,1990
2020-08-04戸　田スポーツ報知サマーカップ1R,1800,300,270,3160,1450,200,250,230,19550,1080
2020-08-04戸　田スポーツ報知サマーカップ2R,110,110,170,550,480,140,180,220,1300,260
2020-08-04戸　田スポーツ報知サマーカップ3R,1510,190,190,3100,980,360,360,230,8390,950
2020-08-04戸　田スポーツ報知サマーカップ4R,820,250,210,2830,1740,330,390,250,10910,1840
2020-08-04戸　田スポーツ報知サマーカップ5R,510,230,200,1400,700,150,290,240,3070,740
2020-08-04戸　田スポーツ報知サマーカップ6R,250,140,320,600,380,230,340,670,3120,870
2020-08-04戸　田スポーツ報知サマーカップ7R,100,110,130,210,190,110,170,210,430,230
2020-08-04戸　田スポーツ報知サマーカップ8R,1820,200,100,2510,710,290,790,340,10380,1590
2020-08-04戸　田スポーツ報知サマーカップ9R,490,250,300,3050,1360,460,220,160,6750,780
2020-08-04戸　田スポーツ報知サマーカップ10R,370,270,230,1350,630,230,250,200,2600,380
2020-08-04戸　田スポーツ報知サマーカップ11R,270,160,130,470,250,130,140,290,1400,470
2020-08-04戸　田スポーツ報知サマーカップ12R,390,770,1340,5070,2700,670,190,480,14950,1140
2020-08-04桐　生第１７回スカッとさわやか杯1R,270,120,220,920,780,220,370,500,6610,1120
2020-08-04桐　生第１７回スカッとさわやか杯2R,310,100,170,420,170,150,340,250,1890,560
2020-08-04桐　生第１７回スカッとさわやか杯3R,550,110,310,4040,1530,310,240,300,14590,1100
2020-08-04桐　生第１７回スカッとさわやか杯4R,280,170,210,350,340,210,480,380,2150,1200
2020-08-04桐　生第１７回スカッとさわやか杯5R,110,100,100,730,260,190,120,160,2310,340
2020-08-04桐　生第１７回スカッとさわやか杯6R,100,120,190,220,280,110,150,360,590,370
2020-08-04桐　生第１７回スカッとさわやか杯7R,330,220,210,1120,660,240,500,840,5400,1410
2020-08-04桐　生第１７回スカッとさわやか杯8R,280,160,250,2350,1400,370,850,630,19550,4930
2020-08-04桐　生第１７回スカッとさわやか杯9R,110,100,140,270,170,130,320,370,1100,530
2020-08-04桐　生第１７回スカッとさわやか杯10R,1100,590,140,3780,930,190,360,150,12660,850
2020-08-04桐　生第１７回スカッとさわやか杯11R,140,140,400,720,690,120,130,240,1760,350
2020-08-04桐　生第１７回スカッとさわやか杯12R,290,150,130,860,300,160,870,540,6730,1790
